orientation,corr_ans,method
0.5,right,mean
0.5,right,mean
0.5,right,mean
0.5,right,mean
0.5,right,mean
-0.5,left,mean
-0.5,left,mean
-0.5,left,mean
-0.5,left,mean
-0.5,left,mean
1,right,mean
1,right,mean
1,right,mean
1,right,mean
1,right,mean
-1,left,mean
-1,left,mean
-1,left,mean
-1,left,mean
-1,left,mean
0.75,right,mean
0.75,right,mean
0.75,right,mean
0.75,right,mean
0.75,right,mean
-0.75,left,mean
-0.75,left,mean
-0.75,left,mean
-0.75,left,mean
-0.75,left,mean
1.25,right,mean
1.25,right,mean
1.25,right,mean
1.25,right,mean
1.25,right,mean
-1.25,left,mean
-1.25,left,mean
-1.25,left,mean
-1.25,left,mean
-1.25,left,mean
1.5,right,mean
1.5,right,mean
1.5,right,mean
1.5,right,mean
1.5,right,mean
-1.5,left,mean
-1.5,left,mean
-1.5,left,mean
-1.5,left,mean
-1.5,left,mean
1.75,right,mean
1.75,right,mean
1.75,right,mean
1.75,right,mean
1.75,right,mean
-1.75,left,mean
-1.75,left,mean
-1.75,left,mean
-1.75,left,mean
-1.75,left,mean
2,right,mean
2,right,mean
2,right,mean
2,right,mean
2,right,mean
-2,left,mean
-2,left,mean
-2,left,mean
-2,left,mean
-2,left,mean
0.25,right,mean
0.25,right,mean
0.25,right,mean
0.25,right,mean
0.25,right,mean
-0.25,left,mean
-0.25,left,mean
-0.25,left,mean
-0.25,left,mean
-0.25,left,mean
0.05,right,mean
0.05,right,mean
0.05,right,mean
0.05,right,mean
0.05,right,mean
-0.05,left,mean
-0.05,left,mean
-0.05,left,mean
-0.05,left,mean
-0.05,left,mean
0.5,right,mean
0.5,right,mean
0.5,right,mean
0.5,right,mean
0.5,right,mean
-0.5,left,mean
-0.5,left,mean
-0.5,left,mean
-0.5,left,mean
-0.5,left,mean
-1.5,left,prdm
-1.5,left,prdm
-1.5,left,prdm
-1.5,left,prdm
-1.5,left,prdm
1.75,right,prdm
1.75,right,prdm
1.75,right,prdm
1.75,right,prdm
1.75,right,prdm
-1.75,left,prdm
-1.75,left,prdm
-1.75,left,prdm
-1.75,left,prdm
-1.75,left,prdm
2,right,prdm
2,right,prdm
2,right,prdm
2,right,prdm
2,right,prdm
-2,left,prdm
-2,left,prdm
-2,left,prdm
-2,left,prdm
-2,left,prdm
0.25,right,prdm
0.25,right,prdm
0.25,right,prdm
0.25,right,prdm
0.25,right,prdm
-0.25,left,prdm
-0.25,left,prdm
-0.25,left,prdm
-0.25,left,prdm
-0.25,left,prdm
0.05,right,prdm
0.05,right,prdm
0.05,right,prdm
0.05,right,prdm
0.05,right,prdm
-0.05,left,prdm
-0.05,left,prdm
-0.05,left,prdm
-0.05,left,prdm
-0.05,left,prdm
0.5,right,prdm
0.5,right,prdm
0.5,right,prdm
0.5,right,prdm
0.5,right,prdm
-0.5,left,prdm
-0.5,left,prdm
-0.5,left,prdm
-0.5,left,prdm
-0.5,left,prdm
1,right,prdm
1,right,prdm
1,right,prdm
1,right,prdm
1,right,prdm
-1,left,prdm
-1,left,prdm
-1,left,prdm
-1,left,prdm
-1,left,prdm
0.75,right,prdm
0.75,right,prdm
0.75,right,prdm
0.75,right,prdm
0.75,right,prdm
-0.75,left,prdm
-0.75,left,prdm
-0.75,left,prdm
-0.75,left,prdm
-0.75,left,prdm
1.25,right,prdm
1.25,right,prdm
1.25,right,prdm
1.25,right,prdm
1.25,right,prdm
-1.25,left,prdm
-1.25,left,prdm
-1.25,left,prdm
-1.25,left,prdm
-1.25,left,prdm
1.5,right,prdm
1.5,right,prdm
1.5,right,prdm
1.5,right,prdm
1.5,right,prdm
-1.5,left,prdm
-1.5,left,prdm
-1.5,left,prdm
-1.5,left,prdm
-1.5,left,prdm
1.75,right,prdm
1.75,right,prdm
1.75,right,prdm
1.75,right,prdm
1.75,right,prdm
