p_right,corr_ans,trigger,condition
.5,left,10,O
.7,right,21,O
.3,left,12,O
.3,left,12,O
.7,right,21,O
.3,left,12,O
.5,right,20,O
.3,left,12,O
.7,right,21,O
.5,left,10,O
.7,left,11,O
.5,right,20,O
.5,left,10,O
.7,left,11,O
.3,left,12,O
.5,left,10,O
.7,right,21,O
.3,left,12,O
.5,right,20,O
.5,left,10,O
.7,right,21,O
.7,right,21,O
.7,left,11,O
.5,right,20,O
.3,right,22,O
.3,left,12,O
.3,right,22,O
.3,right,22,O
.7,right,21,O
.5,right,20,O
.5,left,10,V
.5,left,10,V
.5,right,20,V
.5,right,20,V
.5,left,10,V
.5,right,20,V
.5,right,20,V
.5,right,20,V
.5,left,10,V
.5,left,10,V
.5,left,10,P
.5,right,20,P
.5,left,10,P
.5,right,20,P
.5,left,10,P
.5,right,20,P
.5,right,20,P
.5,left,10,P
.5,left,10,P
.5,right,20,P
.5,right,10,V
.5,left,10,V
.7,right,20,V
.3,left,10,V
.3,right,20,V
.7,right,20,V
.7,right,20,V
.3,left,10,V
.7,right,20,V
.7,right,20,V
.3,left,10,P
.5,left,10,P
.7,right,20,P
.7,right,20,P
.3,left,10,P
.5,right,10,P
.7,right,20,P
.7,right,20,P
.3,left,20,P
.7,right,20,P
