,participant,a,v,zr,t0,st0,contrast
0,data_S1.csv,0.8647000000000002,0.891835,0.5313,0.3205500000000001,0.06909999999999997,3.0
1,data_S10.csv,1.0200000000000002,0.4559899999999999,0.4737000000000002,0.2814500000000001,0.1026,3.0
2,data_S11.csv,1.0309500000000003,0.5675500000000001,0.5587999999999999,0.25365000000000004,0.0319,3.0
3,data_S12.csv,1.0341999999999998,0.267745,0.5454000000000001,0.37020000000000014,0.12400000000000007,3.0
4,data_S13.csv,1.00665,0.4598,0.5,0.3047499999999999,0.08840000000000002,3.0
5,data_S14.csv,1.0803500000000001,-0.05809500000000001,0.5,0.26659999999999995,0.09559999999999996,3.0
6,data_S2.csv,1.0182499999999997,0.24028,0.5749999999999998,0.31875000000000014,0.06810000000000002,3.0
7,data_S3.csv,1.1479499999999998,0.66045,0.5227000000000002,0.2825,0.03710000000000001,3.0
8,data_S4.csv,1.11545,0.47874000000000005,0.5250000000000001,0.26885000000000003,0.0383,3.0
9,data_S5.csv,1.1969499999999995,0.56645,0.5,0.28845000000000004,0.0356,3.0
10,data_S6.csv,1.0930999999999997,-0.3120750000000001,0.5237999999999998,0.3517000000000001,0.15669999999999998,3.0
11,data_S7.csv,0.9797,0.08499999999999999,0.5,0.33210000000000006,0.13450000000000004,3.0
12,data_S8.csv,1.1554500000000005,0.36821499999999996,0.5,0.3406,0.1125,3.0
13,data_S9.csv,1.0831499999999994,-0.47810000000000014,0.5237999999999998,0.3575000000000001,0.1454,3.0
