,participant,a,v,zr,t0,st0,d,contrast
0,S1,0.8323,0.9919799999999999,0.5,0.32415,0.07079999999999999,0.006699999999999999,3.0
1,S10,1.0270999999999995,0.426285,0.4737000000000002,0.2789500000000001,0.10579999999999996,-0.0018000000000000002,3.0
2,S11,0.9503000000000001,0.47667000000000004,0.5312,0.26864999999999994,0.057100000000000005,0.02949999999999998,3.0
3,S12,1.0295,0.30412000000000006,0.5357000000000001,0.3655499999999999,0.10810000000000002,0.011300000000000003,3.0
4,S13,1.0083000000000004,0.47978000000000004,0.5,0.3064000000000001,0.07099999999999998,0.003500000000000002,3.0
5,S14,1.0864000000000003,-0.011839999999999984,0.5,0.2693499999999999,0.033699999999999994,0.003500000000000002,3.0
6,S2,1.0090999999999997,0.32754999999999995,0.5250000000000001,0.31784999999999997,0.08420000000000002,0.023000000000000007,3.0
7,S3,1.1420500000000002,0.7277849999999999,0.47719999999999996,0.28009999999999996,0.03749999999999999,0.030000000000000016,3.0
8,S4,1.1258,0.44384000000000007,0.5,0.26555000000000006,0.019299999999999998,0.0178,3.0
9,S5,1.2029000000000003,0.6336200000000002,0.4723,0.2898,0.027100000000000006,0.010399999999999996,3.0
10,S6,1.0751,-0.23922000000000004,0.5,0.34974999999999984,0.15629999999999994,0.0197,3.0
11,S7,0.9609999999999996,0.195085,0.4749999999999998,0.3368999999999998,0.14840000000000003,0.0096,3.0
12,S8,1.1234499999999994,0.465935,0.4782,0.3439,0.11920000000000001,0.018299999999999997,3.0
13,S9,1.09395,-0.46325499999999986,0.5237999999999998,0.35675000000000007,0.13549999999999998,-0.0045000000000000005,3.0
