intensity,corr_ans,partial_trigger
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
.23,left,11
.51,left,12
.930,left,13
.23,right,21
.51,right,22
.930,right,23
